Style,StyleID,Combined Style ,Combined ID
Altbier,1,Altbier ,1
Dusseldorf Altbier,51,Altbier ,1
North German Altbier,112,Altbier ,1
American Amber Ale,4,Amber Ale ,2
Kellerbier: Amber Kellerbier,95,Amber Ale ,2
American Pale Ale,10,APA ,3
American Barleywine,5,Barleywine,4
English Barleywine,63,Barleywine,4
Belgian Dubbel,22,Belgian Style,5
Belgian Pale Ale,24,Belgian Style,5
Belgian Specialty Ale,25,Belgian Style,5
Belgian Tripel,26,Belgian Style,5
Belgian Blond Ale,20,Blond Ale ,6
Blonde Ale,30,Blond Ale ,6
British Golden Ale,35,Blond Ale ,6
American Brown Ale,6,Brown Ale ,7
British Brown Ale,34,Brown Ale ,7
Flanders Brown Ale/Oud Bruin,70,Brown Ale ,7
London Brown Ale,101,Brown Ale ,7
Northern English Brown,113,Brown Ale ,7
Southern English Brown,143,Brown Ale ,7
Apple Wine,16,Cider ,8
Common Cider,44,Cider ,8
English Cider,64,Cider ,8
French Cider,73,Cider ,8
Fruit Cider,76,Cider ,8
New England Cider,110,Cider ,8
Other Specialty Cider or Perry,121,Cider ,8
Traditional Perry,164,Cider ,8
Dunkelweizen,59,Dunkel ,9
Dunkles Bock,60,Dunkel ,9
Munich Dunkel,108,Dunkel ,9
Extra Special/Strong Bitter (ESB),68,ESB,10
Ordinary Bitter,118,ESB,10
Special/Best/Premium Bitter,144,ESB,10
Fruit and Spice Beer,74,Fruited Beer ,11
Fruit Beer,75,Fruited Beer ,11
Fruit Lambic,77,Fruited Beer ,11
Other Fruit Melomel,119,Fruited Beer ,11
Pyment (Grape Melomel),127,Fruited Beer ,11
Specialty Fruit Beer,146,Fruited Beer ,11
Gose,82,Gose ,12
Gueuze,83,Gose ,12
Festbier,69,Helles,13
German Helles Exportbier,78,Helles,13
Helles Bock,84,Helles,13
Maibock/Helles Bock,103,Helles,13
Munich Helles,109,Helles,13
American IPA,7,IPA,14
Double IPA,56,IPA,14
English IPA,65,IPA,14
Imperial IPA,86,IPA,14
Specialty IPA: Belgian IPA,147,IPA,14
Specialty IPA: Black IPA,148,IPA,14
Specialty IPA: Brown IPA,149,IPA,14
Specialty IPA: Red IPA,150,IPA,14
Specialty IPA: Rye IPA,151,IPA,14
Specialty IPA: White IPA,152,IPA,14
Kölsch,94,Kolsch ,15
American Lager,8,Lager,16
Czech Amber Lager,47,Lager,16
Czech Dark Lager,48,Lager,16
German Leichtbier,79,Lager,16
International Amber Lager,88,Lager,16
International Dark Lager,89,Lager,16
International Pale Lager,90,Lager,16
Light American Lager,100,Lager,16
Premium American Lager,124,Lager,16
Pre-Prohibition Lager,125,Lager,16
Traditional Bock,163,Lager,16
Vienna Lager,167,Lager,16
American Light Lager,9,Lager ,16
Czech Pale Lager,49,Lager ,16
Czech Premium Pale Lager,50,Lager ,16
Dark American Lager,52,Lager ,16
Standard American Lager,156,Lager ,16
Märzen,102,Marzen,17
Oktoberfest/Märzen,115,Marzen,17
Braggot,32,Mead,18
Dry Mead,57,Mead,18
Old Ale,116,Mead,18
Open Category Mead,117,Mead,18
Semi-Sweet Mead,142,Mead,18
Sweet Mead,161,Mead,18
Bohemian Pilsener,31,Pilsner ,19
Classic American Pilsner,40,Pilsner ,19
German Pils,80,Pilsner ,19
German Pilsner (Pils),81,Pilsner ,19
American Porter,11,Porter,20
Baltic Porter,19,Porter,20
English Porter,66,Porter,20
Brown Porter,37,Porter ,20
Pre-Prohibition Porter,126,Porter ,20
Robust Porter,129,Porter ,20
Flanders Red Ale,71,Red Ale ,21
Irish Red Ale,92,Red Ale ,21
Roggenbier,130,Rye Beer,22
Roggenbier (German Rye Beer),131,Rye Beer,22
Sahti,133,Rye Beer,22
Saison,134,Saison ,23
Classic Rauchbier,41,Smoked Beer ,24
Classic Style Smoked Beer,42,Smoked Beer ,24
Other Smoked Beer,120,Smoked Beer ,24
Piwo Grodziskie,123,Smoked Beer ,24
Rauchbier,128,Smoked Beer ,24
Specialty Smoked Beer,153,Smoked Beer ,24
Specialty Wood-Aged Beer,154,Smoked Beer ,24
Wood-Aged Beer,176,Smoked Beer ,24
American Stout,12,Stout,25
Dry Stout,58,Stout,25
Foreign Extra Stout,72,Stout,25
Imperial Stout,87,Stout,25
Irish Extra Stout,91,Stout,25
Irish Stout,93,Stout,25
Oatmeal Stout,114,Stout,25
Russian Imperial Stout,132,Stout,25
Schwarzbier,135,Stout,25
Sweet Stout,162,Stout,25
Tropical Stout,166,Stout,25
American Strong Ale,13,Strong Ale ,26
Belgian Dark Strong Ale,21,Strong Ale ,26
Belgian Golden Strong Ale,23,Strong Ale ,26
Bière de Garde,29,Strong Ale ,26
British Strong Ale,36,Strong Ale ,26
Berliner Weisse,27,Weisse,27
Dunkles Weissbier,61,Weisse,27
Weissbier,169,Weisse,27
Weizen/Weissbier,170,Weisse,27
Weizenbock,171,Weisse,27
California Common,38,West Coast Style ,28
California Common Beer,39,West Coast Style ,28
American Wheat Beer,14,Wheat Beer,29
American Wheat or Rye Beer,15,Wheat Beer,29
Wheatwine,172,Wheat Beer,29
Witbier,175,Wheat Beer,29
Alternative Grain Beer,2,,30
Alternative Sugar Beer,3,,30
Australian Sparkling Ale,17,,30
Autumn Seasonal Beer,18,,30
Best Bitter,28,,30
Brett Beer,33,,30
Clone Beer,43,,30
Cream Ale,45,,30
Cyser (Apple Melomel),46,,30
Dark Mild,53,,30
Doppelbock,54,,30
Dortmunder Export,55,,30
Eisbock,62,,30
Experimental Beer,67,,30
Holiday/Winter Special Spiced Beer,85,,30
Kellerbier: Pale Kellerbier,96,,30
Kentucky Common,97,,30
Lambic,98,,30
Lichtenhainer,99,,30
Metheglin,104,,30
Mild,105,,30
Mixed-Fermentation Sour Beer,106,,30
Mixed-Style Beer,107,,30
N/A,111,,30
Oud Bruin,122,,30
Scottish Export,136,,30
Scottish Export 80/-,137,,30
Scottish Heavy,138,,30
Scottish Heavy 70/-,139,,30
Scottish Light,140,,30
Scottish Light 60/-,141,,30
Specialty Beer,145,,30
Spice  Herb  or Vegetable Beer,155,,30
Standard/Ordinary Bitter,157,,30
Straight (Unblended) Lambic,158,,30
Strong Bitter,159,,30
Strong Scotch Ale,160,,30
Trappist Single,165,,30
Wee Heavy,168,,30
Wild Specialty Beer,173,,30
Winter Seasonal Beer,174,,30